customer_id,name,dob,city,segment,gender,phone,plan_code,tenure_months,monthly_charges,kaggle_churn_label
6047-YHPVI,Ashley Brennan,1966-05-09,Tanta,Prepaid,M,01256218720,PLAN_A,5,69.7,Yes
6572-ADKRS,Rachel Taylor,1981-04-23,Cairo,Prepaid,F,01263436070,PLAN_A,46,74.8,No
5380-WJKOV,Nicole Barrera,1992-07-20,Tanta,Prepaid,M,01228531242,PLAN_A,34,106.35,Yes
8168-UQWWF,Joyce Jackson,1990-02-02,Tanta,Prepaid,F,01225983420,PLAN_A,11,97.85,Yes
8865-TNMNX,Briana Jones,1980-10-28,Alexandria,Postpaid,M,01240839382,PLAN_B,10,49.55,No
9489-DEDVP,Rodney Mcdonald,1976-08-18,Mansoura,Business,F,01131715773,PLAN_C,70,69.2,No
9867-JCZSP,Sharon Smith,2006-11-10,Luxor,Postpaid,F,01038784084,PLAN_B,17,20.75,No
4671-VJLCL,Sandra Fisher,2007-10-18,Giza,Business,F,01263762374,PLAN_C,63,79.85,No
4080-IIARD,Alexander Smith,1957-09-27,Giza,Prepaid,F,01183897088,PLAN_A,13,76.2,No
3714-NTNFO,Brian Dunn,1980-02-12,Alexandria,Prepaid,F,01216986408,PLAN_A,49,84.5,No
5948-UJZLF,Donna Carter,1988-03-30,Alexandria,Prepaid,M,01062224611,PLAN_A,2,49.25,No
7760-OYPDY,Ashley Lucas,1978-12-30,Tanta,Prepaid,F,01210710096,PLAN_A,2,80.65,Yes
7639-LIAYI,Amanda Garcia,2005-08-29,Giza,Business,M,01029505652,PLAN_C,52,79.75,No
2954-PIBKO,Carl Anderson,2000-02-16,Cairo,Business,F,01190563579,PLAN_C,69,64.15,No
8012-SOUDQ,Jodi Vasquez,1963-12-05,Cairo,Prepaid,F,01121830043,PLAN_A,43,90.25,No
9420-LOJKX,Michael Clark,1984-12-21,Luxor,Prepaid,F,01045311610,PLAN_A,15,99.1,Yes
6575-SUVOI,Martin Coleman,2006-05-04,Cairo,Prepaid,F,01059772648,PLAN_A,25,69.5,No
7495-OOKFY,Maria Hester,1961-07-27,Giza,Prepaid,F,01091742470,PLAN_A,8,80.65,Yes
4667-QONEA,Margaret Mitchell,1980-01-05,Tanta,Postpaid,F,01061583363,PLAN_B,60,74.85,No
1658-BYGOY,Andre Flynn,1961-07-16,Giza,Prepaid,M,01192405066,PLAN_A,18,95.45,Yes
8769-KKTPH,Catherine Smith,2006-07-10,Aswan,Postpaid,F,01279928180,PLAN_B,63,99.65,No
5067-XJQFU,Donna Bishop,1967-12-21,Giza,Postpaid,M,01190191410,PLAN_B,66,108.45,No
3957-SQXML,Caleb Oneal,1981-05-14,Tanta,Business,F,01033524492,PLAN_C,34,24.95,No
5954-BDFSG,Donna Wright,2004-07-29,Cairo,Business,F,01276353000,PLAN_C,72,107.5,No
0434-CSFON,Mr. Glenn Brown,1978-04-12,Mansoura,Prepaid,F,01111437525,PLAN_A,47,100.5,No
1215-FIGMP,Glenn Kennedy,1994-06-05,Luxor,Prepaid,M,01098165507,PLAN_A,60,89.9,No
0526-SXDJP,Evelyn Curtis,1998-01-16,Aswan,Business,M,01248387144,PLAN_C,72,42.1,No
0557-ASKVU,Amanda Wilkerson,1967-08-26,Cairo,Postpaid,F,01014510970,PLAN_B,18,54.4,No
5698-BQJOH,Jeffrey Henry,1969-08-18,Luxor,Prepaid,F,01278524572,PLAN_A,9,94.4,Yes
5122-CYFXA,Amber Sloan,1973-09-18,Cairo,Prepaid,F,01241094351,PLAN_A,3,75.3,No
8627-ZYGSZ,Robert Wang,1981-12-10,Aswan,Postpaid,M,01232747608,PLAN_B,47,78.9,No
3410-YOQBQ,Jennifer Macias,1968-08-19,Giza,Business,F,01214840043,PLAN_C,31,79.2,No
3170-NMYVV,Lindsey Bell,1982-01-17,Tanta,Business,F,01142112480,PLAN_C,50,20.15,No
7410-OIEDU,Allen Alvarez,1961-10-03,Mansoura,Prepaid,M,01210038556,PLAN_A,10,79.85,No
2273-QCKXA,Maria Rodriguez,1966-05-20,Aswan,Prepaid,M,01021655844,PLAN_A,1,49.05,No
0731-EBJQB,Thomas West,2000-01-17,Tanta,Postpaid,F,01163611082,PLAN_B,52,20.4,No
1891-QRQSA,James Kaufman MD,1989-10-31,Giza,Business,M,01199880518,PLAN_C,64,111.6,No
8028-PNXHQ,Casey Figueroa,1992-04-20,Aswan,Business,M,01164418707,PLAN_C,62,24.25,No
5630-AHZIL,Logan Mcdonald,1987-07-02,Alexandria,Prepaid,F,01236885204,PLAN_A,3,64.5,No
2673-CXQEU,Traci Mitchell,1955-07-10,Mansoura,Postpaid,F,01212062459,PLAN_B,56,110.5,No
6416-JNVRK,Donna Rice,1963-04-09,Cairo,Postpaid,F,01219209640,PLAN_B,46,55.65,No
5590-ZSKRV,Derrick Weber,1994-10-12,Cairo,Prepaid,F,01083765077,PLAN_A,8,54.65,No
0191-ZHSKZ,Amy Douglas,1986-11-24,Mansoura,Prepaid,M,01185042992,PLAN_A,30,74.75,No
3887-PBQAO,Jonathan Fernandez MD,2007-12-22,Alexandria,Postpaid,F,01256720553,PLAN_B,45,25.9,No
5919-TMRGD,Jennifer Richard,1961-11-06,Tanta,Prepaid,F,01147112255,PLAN_A,1,79.35,Yes
8108-UXRQN,Nancy Olson,1963-12-17,Giza,Prepaid,F,01091384718,PLAN_A,11,50.55,No
9191-MYQKX,Jennifer Waters,1991-05-05,Cairo,Prepaid,F,01071036720,PLAN_A,7,75.15,Yes
9919-YLNNG,Mike Butler,1994-05-10,Tanta,Prepaid,F,01187162674,PLAN_A,42,103.8,No
0318-ZOPWS,Sabrina Burgess,1995-10-08,Alexandria,Business,F,01045045256,PLAN_C,49,20.15,No
4445-ZJNMU,Caitlin Thomas,2006-08-15,Tanta,Prepaid,M,01064644684,PLAN_A,9,99.3,No
4808-YNLEU,Kaylee Stevens,1998-10-11,Cairo,Postpaid,F,01224289484,PLAN_B,35,62.15,No
1862-QRWPE,Mr. William Booker,2001-02-23,Luxor,Business,F,01219715480,PLAN_C,48,20.65,No
2796-NNUFI,Collin Marshall,1973-07-03,Giza,Business,F,01249493811,PLAN_C,46,19.95,No
3016-KSVCP,Roberto Salazar,1999-05-15,Luxor,Prepaid,M,01125704681,PLAN_A,29,33.75,No
4767-HZZHQ,Grant Jackson,1967-03-01,Mansoura,Prepaid,M,01244587020,PLAN_A,30,82.05,No
2424-WVHPL,Collin White,1981-01-07,Tanta,Prepaid,M,01287160950,PLAN_A,1,74.7,No
7233-PAHHL,Erik Snyder,1979-05-17,Giza,Business,M,01169427400,PLAN_C,66,84.0,No
6067-NGCEU,Felicia Ellis,1992-10-10,Alexandria,Prepaid,F,01185587210,PLAN_A,65,111.05,No
9848-JQJTX,Kerry Vaughn,2002-10-21,Giza,Business,M,01142651583,PLAN_C,72,100.9,No
8637-XJIVR,Wesley Stuart,2001-02-27,Giza,Prepaid,F,01171585593,PLAN_A,12,78.95,Yes
9803-FTJCG,Jeanette Fuentes,1955-05-21,Alexandria,Postpaid,M,01271836850,PLAN_B,71,66.85,No
0278-YXOOG,Philip Watson,1995-06-19,Mansoura,Prepaid,M,01213670948,PLAN_A,5,21.05,Yes
3212-KXOCR,Alice Bartlett,2006-08-31,Giza,Business,M,01125605267,PLAN_C,52,21.0,No
4598-XLKNJ,Jeffrey Johnson,1977-06-05,Mansoura,Prepaid,F,01119066979,PLAN_A,25,98.5,Yes
6380-ARCEH,Denise Hopkins,2006-01-03,Mansoura,Prepaid,M,01195048646,PLAN_A,1,20.2,No
3679-XASPY,Misty Gonzalez,1968-07-21,Mansoura,Prepaid,F,01040860700,PLAN_A,1,19.45,No
7123-WQUHX,Sarah Lee,1983-05-12,Cairo,Postpaid,M,01165354876,PLAN_B,38,95.0,No
5386-THSLQ,Andrew Coleman,1999-06-18,Aswan,Postpaid,F,01179324022,PLAN_B,66,45.55,No
3192-NQECA,Alice Costa,2001-07-24,Mansoura,Business,M,01211305024,PLAN_C,68,110.0,Yes
6180-YBIQI,Jacob Bright,1982-10-06,Alexandria,Prepaid,M,01245346197,PLAN_A,5,24.3,No
6728-DKUCO,Lisa Friedman,1985-05-15,Aswan,Postpaid,F,01048559355,PLAN_B,72,104.15,No
9750-BOOHV,Rachel Romero,1997-02-16,Mansoura,Postpaid,F,01063543563,PLAN_B,32,30.15,No
8597-CWYHH,Rachel Shannon,2007-12-13,Alexandria,Postpaid,M,01255901507,PLAN_B,43,94.35,No
2848-YXSMW,Daniel Tran,1960-12-15,Alexandria,Business,M,01084430642,PLAN_C,72,19.4,No
0486-HECZI,Keith Hubbard,2007-01-15,Luxor,Prepaid,M,01073962190,PLAN_A,55,96.75,Yes
4549-ZDQYY,Jasmine Duffy,2005-07-28,Luxor,Postpaid,F,01157451057,PLAN_B,52,57.95,No
5712-AHQNN,Lisa White,1980-10-05,Giza,Prepaid,F,01087002404,PLAN_A,43,91.65,No
4846-WHAFZ,Logan Sanchez,1994-04-26,Mansoura,Prepaid,F,01134532913,PLAN_A,37,76.5,Yes
5256-SKJGO,Susan Hernandez,1999-02-14,Mansoura,Business,F,01235523849,PLAN_C,64,54.6,No
3071-VBYPO,Caleb Rose,1989-10-31,Aswan,Prepaid,M,01136798789,PLAN_A,3,89.85,No
9560-BBZXK,Danielle Sullivan,1992-03-31,Alexandria,Business,F,01042488275,PLAN_C,36,31.05,No
5299-RULOA,Anthony Tucker,1974-02-12,Mansoura,Prepaid,F,01137753358,PLAN_A,10,100.25,Yes
8402-OOOHJ,Megan Craig,1999-12-06,Giza,Business,F,01037214866,PLAN_C,41,20.65,No
9445-ZUEQE,Mr. Derrick Coleman MD,1997-10-10,Tanta,Prepaid,M,01093026670,PLAN_A,27,85.2,No
1091-SOZGA,Ryan Miller,1976-08-25,Tanta,Postpaid,F,01130937370,PLAN_B,56,99.8,No
2928-HLDBA,Terry Miller,1991-05-14,Tanta,Prepaid,F,01026089818,PLAN_A,6,20.7,No
0404-SWRVG,Rachael Romero,1981-01-29,Cairo,Prepaid,M,01099043272,PLAN_A,3,74.4,Yes
6497-TILVL,Ashley Lozano,1967-10-08,Alexandria,Prepaid,F,01192386462,PLAN_A,7,50.7,No
7219-TLZHO,Robert Johnson,1998-05-31,Tanta,Prepaid,F,01082675403,PLAN_A,4,20.85,No
4622-YNKIJ,Luis Hess,2002-05-24,Cairo,Business,M,01074732147,PLAN_C,33,88.95,No
4412-YLTKF,Dennis Rogers,1975-08-06,Tanta,Prepaid,F,01193304578,PLAN_A,27,78.05,Yes
6734-PSBAW,Omar Burgess,2001-11-01,Giza,Business,M,01176080806,PLAN_C,72,23.55,No
3930-ZGWVE,Lisa Sanders,1955-07-26,Luxor,Prepaid,M,01246874043,PLAN_A,1,19.75,No
2639-UGMAZ,Joseph Davis,1971-10-19,Giza,Postpaid,M,01134544645,PLAN_B,71,56.45,No
2876-GZYZC,Melanie Jackson,1979-02-21,Cairo,Prepaid,F,01247616749,PLAN_A,13,85.95,No
6207-WIOLX,Katherine Nguyen,2000-01-16,Alexandria,Prepaid,F,01139808788,PLAN_A,25,58.6,Yes
8587-XYZSF,Jessica Allen,1974-07-16,Aswan,Business,M,01227212880,PLAN_C,67,50.55,No
3091-FYHKI,Eric Warren,1999-05-18,Mansoura,Prepaid,M,01080563016,PLAN_A,1,35.45,Yes
2372-HWUHI,Rebecca Mcdonald,1973-04-17,Giza,Prepaid,M,01174199033,PLAN_A,2,44.35,Yes
7799-LGRDP,Joshua Diaz,1964-01-17,Alexandria,Business,F,01214370484,PLAN_C,43,25.7,No
7850-VWJUU,Andrew Gordon,1964-11-12,Mansoura,Prepaid,F,01256612335,PLAN_A,23,75.0,No
3774-VBNXY,Darryl Brown,1997-06-07,Luxor,Business,F,01133461307,PLAN_C,64,20.2,No
6217-KDYWC,Carol Stout,1979-08-19,Luxor,Business,M,01126155543,PLAN_C,57,19.6,No
0390-DCFDQ,Robert Sanchez,1986-03-27,Mansoura,Prepaid,F,01279552316,PLAN_A,1,70.45,Yes
3146-MSEGF,George Callahan,1987-09-09,Luxor,Business,F,01152365995,PLAN_C,72,88.05,No
4080-OGPJL,Valerie Gilbert,1977-07-25,Alexandria,Prepaid,F,01211129926,PLAN_A,8,71.15,Yes
1095-WGNGG,Eric Evans,1997-12-23,Giza,Business,F,01038286706,PLAN_C,61,101.05,No
2636-SJDOU,Andrew Santos,1967-06-07,Alexandria,Postpaid,M,01187981603,PLAN_B,64,84.3,No
1131-QQZEB,Regina Knight,1960-05-01,Alexandria,Business,M,01053679307,PLAN_C,71,23.95,No
5716-EZXZN,Erik Romero,1959-08-31,Mansoura,Business,F,01192245683,PLAN_C,65,99.05,No
6837-BJYDQ,Krista Johnson,1985-04-21,Aswan,Postpaid,M,01135119175,PLAN_B,3,19.6,No
2135-RXIHG,Bethany Brown,2002-10-16,Aswan,Prepaid,M,01245279000,PLAN_A,1,45.65,Yes
6440-DKQGE,Jennifer Park,1975-04-10,Giza,Postpaid,M,01046159360,PLAN_B,30,64.5,No
3466-BYAVD,Brandon Frye,1997-10-03,Mansoura,Prepaid,M,01192286747,PLAN_A,15,69.5,No
3780-YVMFA,Brian Black,1991-11-20,Aswan,Prepaid,F,01159113508,PLAN_A,8,68.55,No
3874-EQOEP,Dustin Wright,1977-11-18,Luxor,Prepaid,M,01076943778,PLAN_A,7,95.0,Yes
1679-JRFBR,Jose Salinas,2002-05-23,Aswan,Postpaid,F,01138257191,PLAN_B,70,108.15,No
9073-ZZIAY,Gina Martin,1980-10-02,Luxor,Business,M,01159970552,PLAN_C,62,86.1,No
3077-RSNTJ,Timothy Murphy,1972-06-20,Giza,Prepaid,F,01163766628,PLAN_A,6,19.7,No
6551-GNYDG,Terri Martin,1965-08-06,Alexandria,Prepaid,F,01170495821,PLAN_A,14,80.9,No
9167-APMXZ,Theresa Jimenez,2000-06-04,Alexandria,Prepaid,F,01086693314,PLAN_A,22,84.15,No
2749-CTKAJ,Amanda Meyer,2001-05-22,Aswan,Postpaid,M,01087295013,PLAN_B,22,20.15,No
6371-NZYEG,Kimberly Campbell,1970-12-22,Luxor,Business,M,01240677709,PLAN_C,16,64.25,No
7554-NEWDD,Beverly Munoz,1975-05-26,Cairo,Business,M,01046231955,PLAN_C,10,25.7,No
8992-VONJD,Richard Banks,1982-05-20,Tanta,Prepaid,F,01084536479,PLAN_A,13,56.0,No
0867-MKZVY,Melissa Dodson,1978-01-12,Cairo,Prepaid,F,01161121302,PLAN_A,20,82.4,Yes
4482-EWFMI,Jacqueline Gordon,1971-11-19,Tanta,Prepaid,F,01029574814,PLAN_A,2,69.7,No
4648-YPBTM,Ricky Moses,1958-07-11,Cairo,Business,M,01230072000,PLAN_C,53,73.9,No
2907-ILJBN,Kurt Raymond,1980-09-27,Alexandria,Postpaid,F,01111307588,PLAN_B,11,20.6,No
6345-FZOQH,Austin Barnes,1985-11-29,Mansoura,Business,M,01066575546,PLAN_C,69,19.9,No
3376-BMGFE,Amy Pittman,1976-08-05,Alexandria,Prepaid,F,01128048483,PLAN_A,4,70.9,Yes
5997-OPVFA,April Myers,1964-01-29,Tanta,Business,M,01279391501,PLAN_C,72,89.05,No
3445-HXXGF,Marcus Nelson,2002-01-14,Mansoura,Prepaid,M,01252376193,PLAN_A,58,45.3,Yes
1159-WFSGR,Donald Rodriguez,1994-02-27,Luxor,Prepaid,F,01150269906,PLAN_A,16,20.4,No
7654-YWJUF,Stephen Miller,1980-07-26,Aswan,Postpaid,M,01185448945,PLAN_B,43,84.25,No
1875-QIVME,Jacqueline Evans,1963-07-07,Cairo,Prepaid,F,01216403434,PLAN_A,2,104.4,Yes
6727-IOTLZ,Gina Carey,1989-04-29,Luxor,Business,M,01123284172,PLAN_C,14,81.95,No
0691-JVSYA,Lauren Bates,1998-02-11,Luxor,Postpaid,F,01231923376,PLAN_B,53,94.85,Yes
5918-VUKWP,Jose Phelps,1968-05-12,Aswan,Postpaid,F,01038919534,PLAN_B,32,20.55,No
1744-JHKYS,Nicholas Roberts,1976-05-23,Luxor,Prepaid,F,01173960038,PLAN_A,34,24.7,No
2656-FMOKZ,Stephanie Price,1961-10-19,Aswan,Prepaid,F,01222925420,PLAN_A,15,74.45,Yes
2070-FNEXE,Brittany Davis,1994-07-24,Giza,Prepaid,F,01154916840,PLAN_A,7,76.45,Yes
5947-SGKCL,Richard Martinez,2000-06-09,Aswan,Prepaid,F,01158447502,PLAN_A,15,105.35,No
3712-PKXZA,Barbara Morgan,1988-04-11,Tanta,Postpaid,M,01185208908,PLAN_B,61,20.55,No
6317-YPKDH,Amanda Burnett,1979-09-06,Cairo,Prepaid,F,01244589898,PLAN_A,1,29.95,Yes
6582-OIVSP,Sherry Robbins,1981-11-14,Mansoura,Prepaid,F,01112662253,PLAN_A,1,45.3,No
9367-WXLCH,Brandon Mccarthy,1989-07-31,Mansoura,Prepaid,M,01126272220,PLAN_A,8,84.5,Yes
5524-KHNJP,Shawn Richardson,1971-05-12,Cairo,Postpaid,M,01191279039,PLAN_B,33,74.75,No
1918-ZBFQJ,Megan Davis,1984-06-18,Mansoura,Prepaid,F,01087424000,PLAN_A,13,79.25,Yes
1024-GUALD,Christopher Palmer,1966-01-13,Aswan,Prepaid,F,01297223468,PLAN_A,1,24.8,Yes
4827-USJHP,Kathryn Mcdowell,1978-10-24,Tanta,Prepaid,M,01282267959,PLAN_A,20,51.8,No
8167-GJLRN,Michelle Lutz,2001-06-16,Giza,Prepaid,M,01048199537,PLAN_A,3,30.4,No
0956-SYCWG,Hannah Taylor,1963-01-01,Tanta,Postpaid,F,01153632879,PLAN_B,13,19.65,No
8017-UVSZU,Melanie Coleman,2007-02-21,Mansoura,Prepaid,F,01278510704,PLAN_A,40,56.6,No
7100-FQPRV,Theresa Vang,1976-01-13,Giza,Postpaid,M,01169985944,PLAN_B,43,71.9,No
2472-OVKUP,Steven Barker,1985-06-01,Cairo,Prepaid,M,01061146483,PLAN_A,6,91.0,Yes
2984-RGEYA,Jeffrey West,1988-02-03,Giza,Business,F,01248456543,PLAN_C,69,19.75,No
9680-NIAUV,Michelle Bryant,1964-06-23,Luxor,Business,F,01194786974,PLAN_C,72,109.7,No
2146-EGVDT,Sharon Wood,1984-11-25,Alexandria,Business,M,01032491607,PLAN_C,59,19.3,No
2604-IJPDU,Kevin Smith,1999-01-17,Luxor,Prepaid,F,01255283492,PLAN_A,20,96.55,No
9178-JHUVJ,Bryan Burke,1979-12-19,Cairo,Business,M,01194728082,PLAN_C,24,24.1,No
6168-YBYNP,Pamela Castillo,2002-06-08,Mansoura,Prepaid,M,01286723896,PLAN_A,59,111.35,No
7255-SSFBC,Caleb Long,1966-11-23,Mansoura,Business,M,01119575640,PLAN_C,72,112.25,No
3645-DEYGF,Allison Mcdonald,1990-08-02,Giza,Prepaid,M,01031743203,PLAN_A,1,20.75,No
9323-HGFWY,Meagan Medina,1969-01-24,Aswan,Postpaid,F,01140630893,PLAN_B,27,101.9,No
8544-GOQSH,Amy Brown,2006-07-29,Tanta,Prepaid,F,01152530677,PLAN_A,14,80.05,No
3363-DTIVD,Cheryl Ramirez,1998-03-30,Alexandria,Business,M,01249105187,PLAN_C,71,105.55,No
7018-WBJNK,Paul Perez,2002-05-24,Aswan,Prepaid,M,01245899536,PLAN_A,13,78.3,No
9142-KZXOP,Terry Clark,2003-01-24,Cairo,Prepaid,M,01296522692,PLAN_A,44,68.85,No
7674-YTAFD,Samantha Bradley,1957-12-06,Tanta,Postpaid,F,01146406303,PLAN_B,33,79.95,No
6348-SNFUS,Brandon Wade,1994-09-05,Mansoura,Business,M,01158743159,PLAN_C,72,55.45,No
1285-OKIPP,Joseph Snyder,1993-08-27,Giza,Prepaid,M,01288775038,PLAN_A,1,79.9,Yes
7825-ECJRF,Patricia Frank,1984-04-13,Tanta,Prepaid,F,01270436720,PLAN_A,19,106.6,Yes
1347-KTTTA,Jason Smith,1999-03-10,Mansoura,Postpaid,M,01132457056,PLAN_B,64,102.45,No
7841-TZDMQ,Tina Tucker,1999-11-13,Aswan,Prepaid,M,01013100576,PLAN_A,2,46.0,Yes
4195-NZGTA,Margaret Adkins,1974-01-30,Aswan,Prepaid,F,01041491128,PLAN_A,1,25.25,No
7157-SMCFK,Donna Jennings,1982-01-20,Alexandria,Business,M,01243775489,PLAN_C,61,19.75,No
4709-LKHYG,Taylor Bell,1997-01-23,Alexandria,Postpaid,F,01220746107,PLAN_B,29,20.0,No
2504-DSHIH,Carl Moore,1987-07-23,Giza,Prepaid,M,01032402343,PLAN_A,23,86.8,No
0699-NDKJM,Ryan Harvey,1964-12-14,Tanta,Prepaid,F,01123825676,PLAN_A,57,58.75,No
9286-BHDQG,Katherine Riley,1981-12-02,Alexandria,Business,M,01018562070,PLAN_C,72,45.25,No
0230-WEQUW,Jennifer Cole,1959-09-10,Aswan,Business,M,01183609531,PLAN_C,66,56.6,No
2040-LDIWQ,Matthew Ball,1978-06-04,Tanta,Business,M,01013538638,PLAN_C,65,84.2,No
6496-JDSSB,Yvonne Perry,1959-09-23,Aswan,Prepaid,F,01180327779,PLAN_A,8,80.0,No
9408-SSNVZ,Briana Page,1965-06-13,Cairo,Prepaid,F,01023949034,PLAN_A,4,70.15,Yes
4443-EMBNA,Brenda Gates,1960-10-07,Aswan,Business,F,01192960269,PLAN_C,71,24.75,No
6469-MRVET,Diana Davis,1962-05-07,Giza,Postpaid,M,01021316066,PLAN_B,1,20.2,No
0742-MOABM,Angela Castro,1996-07-11,Luxor,Prepaid,M,01262324272,PLAN_A,4,50.05,Yes
5961-VUSRV,Emily Moore,1984-06-25,Cairo,Postpaid,F,01140783635,PLAN_B,12,19.35,No
6778-JFCMK,Barbara Baker,2000-10-21,Cairo,Postpaid,M,01048141360,PLAN_B,24,50.6,No
6341-JVQGF,Christopher Mcpherson,1976-04-17,Giza,Postpaid,F,01194084814,PLAN_B,31,81.15,No
2232-DMLXU,Tyler Cross,1977-08-05,Tanta,Prepaid,F,01027619715,PLAN_A,1,55.2,Yes
4811-JBUVU,Jeanette Haas,1995-12-29,Tanta,Prepaid,M,01232898616,PLAN_A,30,89.9,No
0945-TSONX,Denise Johnson,1967-03-28,Giza,Business,F,01014718421,PLAN_C,47,85.3,No
2651-ZCBXV,Richard Harper,1980-03-09,Alexandria,Business,M,01257894420,PLAN_C,54,108.0,No
3316-UWXUY,Trevor Bell,1995-02-08,Cairo,Prepaid,M,01173908407,PLAN_A,50,93.5,No
8937-RDTHP,Suzanne Rojas,1997-09-02,Alexandria,Prepaid,M,01182555977,PLAN_A,1,84.6,Yes
7083-MIOPC,Jessica Mahoney,1979-08-22,Aswan,Business,F,01183624500,PLAN_C,72,20.25,No
1984-GPTEH,Scott Phelps,1975-10-04,Cairo,Prepaid,F,01128134815,PLAN_A,29,25.15,No
1251-KRREG,Dr. Frank Hays,1974-09-11,Cairo,Prepaid,M,01282381952,PLAN_A,2,54.4,Yes
0621-JFHOL,Christine Anderson MD,1995-05-28,Mansoura,Business,F,01089299984,PLAN_C,10,29.6,No
9903-LYSAB,Billy Anderson,1960-05-26,Luxor,Prepaid,M,01271276220,PLAN_A,18,73.15,No
0094-OIFMO,Sue Roberson,1984-01-01,Tanta,Prepaid,F,01295342494,PLAN_A,11,95.0,Yes
9227-UAQFT,Sara Mitchell,1980-11-14,Cairo,Business,M,01268381674,PLAN_C,16,19.75,No
7301-ABVAD,Patricia Acosta,2007-12-21,Tanta,Business,F,01295870691,PLAN_C,72,86.6,No
